"coef","exp(coef)","se(coef)","z","Pr(>|z|)","bac","Gender","model","pval.adj","pval","sym","direction","CI_95upper","CI_95lower","OR","Estimate"
-0.744440474947496,0.475,0.278624440685609,-2.67184197163629,0.00754361645890433,"Odoribacter_splanchnicus","All","m1",0.362093590027408,0.00754361645890433,"**","-1",0.820093786729487,0.275120972321698,0.48,"0.48(0.28,0.82)"
-0.400896977905961,0.669719053343301,0.129041644738753,-3.10672557465913,0.00189171919907343,"Bacteroides_uniformis","All","m1",0.1210700287407,0.00189171919907343,"***","-1",0.862452370493218,0.520056093247847,0.67,"0.67(0.52,0.86)"
-0.313003067792613,0.731247669249243,0.12211272787512,-2.5632304939802,0.0103703177273327,"Flavonifractor_plautii","All","m1",0.398220200729574,0.0103703177273327,"*","-1",0.928985525373909,0.575599015460686,0.73,"0.73(0.58,0.93)"
-0.248357101052481,0.780081325671257,0.142791165007368,-1.7393029956697,0.0819814806761197,"Phascolarctobacterium_faecium","All","m1",0.655110068037256,0.0819814806761197,"","-1",1.03201539270706,0.589649029424656,0.78,"0.78(0.59,1.03)"
-0.875468737353899,0.416666666666667,0.266145323711188,-3.28943873649994,0.00100387407824141,"Clostridium_phoceensis","All","m1",0.1210700287407,0.00100387407824141,"***","-1",0.701998576399045,0.247309776611888,0.42,"0.42(0.25,0.70)"
0.370373788296664,1.44827586206863,0.241437947369942,1.53403303967442,0.125021524785867,"Megasphaera_sp_BL7","All","m1",0.655110068037256,0.125021524785867,"","1",2.32470271219623,0.902267185238947,1.45,"1.45(0.90,2.32)"
-0.583146285166552,0.558139534983664,0.254798902307012,-2.28865305103986,0.0220995188880618,"Bacteroides_cellulosilyticus","All","m1",0.466610889280531,0.0220995188880618,"*","-1",0.919669937731988,0.338729937481728,0.56,"0.56(0.34,0.92)"
-0.7339691750802,0.48,0.351188458428425,-2.08995813348971,0.0366215607174163,"Desulfovibrio_piger","All","m1",0.583815475381717,0.0366215607174163,"*","-1",0.955386033554498,0.241159062314111,0.48,"0.48(0.24,0.96)"
-0.800777844752311,0.448979591836735,0.256637309680123,-3.12027057075377,0.001806849897248,"Clostridium_spiroforme","All","m1",0.1210700287407,0.001806849897248,"***","-1",0.742473040705007,0.271501674585343,0.45,"0.45(0.27,0.74)"
-1.08601304078411,0.337559650932172,0.379878995846425,-2.85883940059471,0.00425193987552078,"Odoribacter_splanchnicus","All","m2",0.286721061318946,0.00425193987552078,"**","-1",0.710738855190418,0.160321216583723,0.34,"0.34(0.16,0.71)"
-0.327604156959051,0.720648226838514,0.156791554456309,-2.08942476586225,0.0366695037952546,"Bacteroides_uniformis","All","m2",0.413717569130206,0.0366695037952546,"*","-1",0.979911801120115,0.529980214802858,0.72,"0.72(0.53,0.98)"
-0.392157293371469,0.675597838540855,0.143742055002566,-2.72820152296047,0.00636806910634054,"Flavonifractor_plautii","All","m2",0.286721061318946,0.00636806910634054,"**","-1",0.895455397970602,0.509721020695728,0.68,"0.68(0.51,0.90)"
-0.486330037137063,0.614878840969841,0.183869562304094,-2.64497305069309,0.00816974233587166,"Phascolarctobacterium_faecium","All","m2",0.286721061318946,0.00816974233587166,"**","-1",0.881662724159101,0.428821564882434,0.61,"0.61(0.43,0.88)"
-0.856096638744102,0.424817064690563,0.323385456652569,-2.64729480294426,0.0081138585056147,"Clostridium_phoceensis","All","m2",0.286721061318946,0.0081138585056147,"**","-1",0.800706237636221,0.225387951247979,0.42,"0.42(0.23,0.80)"
0.711843433526662,2.03774424445301,0.313445236254201,2.27102967661427,0.0231451814959399,"Megasphaera_sp_BL7","All","m2",0.36572061556525,0.0231451814959399,"*","1",3.76668798430773,1.10240126686908,2.04,"2.04(1.10,3.77)"
-0.661532001124185,0.516060123888738,0.317462045583769,-2.08381446011198,0.0371770475073144,"Bacteroides_cellulosilyticus","All","m2",0.413717569130206,0.0371770475073144,"*","-1",0.961456081772685,0.276994505018924,0.52,"0.52(0.28,0.96)"
-1.11976982417875,0.326354904986688,0.460983297096976,-2.42908979832991,0.0151367827500466,"Desulfovibrio_piger","All","m2",0.297031450479599,0.0151367827500466,"*","-1",0.805539884914308,0.132218808780896,0.33,"0.33(0.13,0.81)"
-0.967825453311671,0.379908268794656,0.34008775680894,-2.84581092360638,0.00442984892780699,"Clostridium_spiroforme","All","m2",0.286721061318946,0.00442984892780699,"**","-1",0.739890223828395,0.195069873949338,0.38,"0.38(0.20,0.74)"
-1.14570373986885,0.318000049713931,0.403572929868557,-2.83890136100558,0.00452691482735647,"Odoribacter_splanchnicus","All","m3",0.220269347540355,0.00452691482735647,"**","-1",0.701383267565819,0.144177992681545,0.32,"0.32(0.14,0.70)"
-0.349984658552443,0.704698900737014,0.170359305169256,-2.0543912068949,0.039937843433643,"Bacteroides_uniformis","All","m3",0.445689879219201,0.039937843433643,"*","-1",0.984048179304491,0.504650637178095,0.7,"0.70(0.50,0.98)"
-0.423321028335723,0.654868368060776,0.158929994635012,-2.66356913500119,0.00773165225744597,"Flavonifractor_plautii","All","m3",0.220269347540355,0.00773165225744597,"**","-1",0.894206774780985,0.479589946734212,0.65,"0.65(0.48,0.89)"
-0.46499654169708,0.628137277474865,0.197348589515489,-2.35621923034107,0.0184620183226483,"Phascolarctobacterium_faecium","All","m3",0.295392293162373,0.0184620183226483,"*","-1",0.924785642422493,0.426646372147375,0.63,"0.63(0.43,0.92)"
-0.913420858029662,0.401149598349891,0.344585910353584,-2.65077831270695,0.00803065329574213,"Clostridium_phoceensis","All","m3",0.220269347540355,0.00803065329574213,"**","-1",0.788177095622756,0.204168582352842,0.4,"0.40(0.20,0.79)"
1.0018524409774,2.72332195193054,0.365507892053009,2.74098716542104,0.00612549001803306,"Megasphaera_sp_BL7","All","m3",0.220269347540355,0.00612549001803306,"**","1",5.5747524312043,1.33036983173522,2.72,"2.72(1.33,5.57)"
-1.37763494418602,0.252174254535292,0.417278879341666,-3.30147297739941,0.000961785989801583,"Bacteroides_cellulosilyticus","All","m3",0.184662910041904,0.000961785989801583,"**","-1",0.571341405082656,0.111302723878782,0.25,"0.25(0.11,0.57)"
-1.5064817601232,0.221688561070985,0.55213055594193,-2.72848829667315,0.0063625347839102,"Desulfovibrio_piger","All","m3",0.220269347540355,0.0063625347839102,"**","-1",0.654223743573694,0.07512081087315,0.22,"0.22(0.08,0.65)"
-1.09962304171336,0.332996585864518,0.382016220642864,-2.87847212315459,0.00399606596770309,"Clostridium_spiroforme","All","m3",0.220269347540355,0.00399606596770309,"**","-1",0.704074398124697,0.157492910540097,0.33,"0.33(0.16,0.70)"
